,time,link
0,,https://www.loksatta.com/lokrang/article-about-indian-painters-history-zws-70-3059305/
1,"August 7, 2022 1:09 am",https://www.loksatta.com/lokrang/article-about-sculpture-painter-amedeo-modigliani-zws-70-3059349/
2,"Updated: August 7, 2022 5:37 am",https://www.loksatta.com/lokrang/article-about-filipino-politician-and-judge-jose-laurel-zws-70-3059350/
3,"August 7, 2022 1:08 am",https://www.loksatta.com/lokrang/article-about-damodar-vishwanath-newalkar-pro-tilak-play-sangeet-dandadhari-zws-70-3059351/
4,"August 7, 2022 1:06 am",https://www.loksatta.com/lokrang/author-indrayani-savkar-talk-about-book-sanyukt-maharashtracha-sangram-zws-70-3059437/
5,"August 7, 2022 1:05 am",https://www.loksatta.com/lokrang/viplavi-bangla-sonar-bangla-book-review-author-hemant-gokhale-zws-70-3059438/
6,"August 7, 2022 1:04 am",https://www.loksatta.com/lokrang/muktyarisamarambh-marathi-book-review-zws-70-3059439/
7,"July 31, 2022 12:06 am",https://www.loksatta.com/lokrang/the-cold-war-on-the-chessboard-match-of-the-century-robert-james-aka-bobby-fish-amy-95-3048279/
8,"July 31, 2022 12:05 am",https://www.loksatta.com/lokrang/movie-directed-by-shyam-benegal-summer-background-dockside-unwanted-movies-in-national-awards-amy-95-3048278/
9,"July 31, 2022 12:04 am",https://www.loksatta.com/lokrang/nanda-khare-a-versatile-writer-creative-thinker-art-lover-books-book-review-amy-95-3048102/
10,"July 31, 2022 12:04 am",https://www.loksatta.com/lokrang/meteora-is-a-sculpture-between-earth-and-sky-greece-author-translator-monolithic-rocks-amy-95-3048103/
11,"July 31, 2022 12:03 am",https://www.loksatta.com/lokrang/talented-sculptor-on-the-art-world-sculpture-j-j-school-of-art-sculptor-narayan-laxman-sonavadekar-amy-95-3048164/
12,"July 31, 2022 12:02 am",https://www.loksatta.com/lokrang/craft-popup-books-cartoon-animation-letters-books-the-boat-kite-amy-95-3048098/
13,,https://www.loksatta.com/explained/what-is-the-india-angle-in-the-twitter-vs-musk-legal-slugfest-scsg-91-3064995/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
14,,https://www.loksatta.com/pune/7-year-old-girl-abducted-and-molested-in-pune-station-area-by-unknown-person-zws-70-svk88-3064991/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
15,,https://www.loksatta.com/desh-videsh/after-resignation-jdu-leader-nitish-kumar-will-again-take-oath-as-chief-minister-on-wednesday-bihar-politics-rmm-97-3064955/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
16,,https://www.loksatta.com/pune/former-ncp-corporator-rekha-tingre-joins-bjp-in-the-presence-of-deputy-chief-minister-devendra-fadnavis-svk-88-3064875/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
17,,https://www.loksatta.com/pune/young-people-are-extorted-to-the-tune-of-ten-lakhs-by-the-lure-of-a-job-abroad-pune-print-news-amy-95-3064874/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
18,2 hours ago,https://www.loksatta.com/photos/news/3064967/sambhaji-chhatrapati-unveils-symbol-and-flag-of-his-swaraj-organisation-in-tuljapur-prd-96/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=photogallery
19,5 hours ago,https://www.loksatta.com/photos/lifestyle-gallery/3064820/applying-gram-flour-and-rose-water-face-pack-gives-these-amazing-benefits-gps-97/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=photogallery
20,5 hours ago,https://www.loksatta.com/photos/entertainment-gallery/3064832/marathi-actress-mrinal-kulkarni-photos-with-husband-goes-viral-on-social-media-kmd-95/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=photogallery
21,,https://www.loksatta.com/sampadkiya/what-has-to-do-with-tribal-religion-asj-82-3063155/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
22,,https://www.loksatta.com/sampadkiya/does-any-change-in-the-country-after-anna-campaign-asj-82-3063107/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
23,,https://www.loksatta.com/sampadkiya/columns/isro-successfully-launches-small-satellite-launch-zws-70-3062864/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
24,,https://www.loksatta.com/sampadkiya/features/article-about-importance-of-awareness-about-covid-19-booster-vaccines-doses-zws-70-3062863/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
25,,https://www.loksatta.com/sampadkiya/editorial/loksatta-editorial-on-developments-in-niti-aayog-meeting-zws-70-3062862/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
26,,https://www.loksatta.com/sampadkiya/columns/samyog-bhoodan-yagna-acharya-vinoba-bhave-zws-70-3062768/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
27,,https://www.loksatta.com/sampadkiya/columns/bjp-keshav-upadhye-article-about-various-development-schemes-in-modi-government-period-zws-70-3062767/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
28,,https://www.loksatta.com/sampadkiya/columns/readers-express-view-on-loksatta-editorial-and-articles-zws-70-3062771/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest1
29,"July 31, 2022 12:02 am",https://www.loksatta.com/lokrang/craft-popup-books-cartoon-animation-letters-books-the-boat-kite-amy-95-3048098/
30,"July 31, 2022 12:01 am",https://www.loksatta.com/lokrang/village-of-mathematics-first-marathi-podcast-global-communication-swan-famous-selective-communication-mandar-kulkarni-amy-95-3047914/
31,"July 31, 2022 12:01 am",https://www.loksatta.com/lokrang/success-story-of-special-children-disability-divya-bharari-book-writer-shobha-nakhre-amy-95-3048281/
32,"July 24, 2022 1:15 am",https://www.loksatta.com/lokrang/monsoon-music-melodies-of-monsoons-music-relation-with-monsoon-rains-zws-70-3036320/
33,"July 24, 2022 1:14 am",https://www.loksatta.com/lokrang/indian-classical-music-indian-ecclesiastical-music-indian-classical-music-in-hindi-movies-zws-70-3036564/
34,"July 24, 2022 1:13 am",https://www.loksatta.com/lokrang/article-about-natalia-goncharova-paintings-zws-70-3036581/
35,"July 24, 2022 1:12 am",https://www.loksatta.com/lokrang/article-about-singer-and-guitarist-bhupinder-singh-zws-70-3036566/
36,"July 24, 2022 1:11 am",https://www.loksatta.com/lokrang/maharwada-drama-and-book-by-gangadhar-vishwanath-gokhale-published-in-1935-zws-70-3036608/
37,"July 24, 2022 1:09 am",https://www.loksatta.com/lokrang/article-on-poet-satish-kalsekar-on-first-birth-anniversary-zws-70-3036607/
38,"July 24, 2022 1:05 am",https://www.loksatta.com/lokrang/sarjanshil-book-by-dr-avinash-supe-zws-70-3036704/
39,"July 24, 2022 1:01 am",https://www.loksatta.com/lokrang/palakshala-book-by-dr-shreeram-geet-zws-70-3036705/
40,"July 17, 2022 12:17 am",https://www.loksatta.com/lokrang/president-constitution-president-authority-cabinet-advised-national-interest-authority-ysh-95-3024183/
41,,https://www.loksatta.com/krida/23-times-grandslam-winner-serena-williams-announce-retirement-when-will-pay-last-match-rmm-97-3064913/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
42,,https://www.loksatta.com/manoranjan/amruta-subhash-starar-punashch-honeymon-drama-review-mrj-95-3064908/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
43,,https://www.loksatta.com/manoranjan/sushmita-sen-ex-boyfriend-rohman-shawl-attend-actress-family-party-watch-video-mrj-95-3064866/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
44,,https://www.loksatta.com/maharashtra/election-commission-given-4-week-times-to-provide-documents-for-claiming-shiv-sena-party-and-bow-and-arrow-logo-prd-96-3064870/?utm_source=LSRHS&utm_medium=LSRHS&utm_campaign=Latest
